kappa,length_um,split_ratio
0.011794871794871795,41.381909547738694,0.21990808923933525
0.011794871794871795,41.62814070351759,0.2223186017808272
0.011794871794871795,41.87437185929648,0.22473848299388494
0.011794871794871795,42.12060301507538,0.2271676512343204
0.011794871794871795,42.366834170854275,0.22960602454461093
0.011794871794871795,42.61306532663317,0.23205352065666512
0.011794871794871795,42.85929648241206,0.23451005699459787
0.011794871794871795,43.10552763819096,0.2369755506775166
0.011794871794871795,43.35175879396985,0.23944991852231745
0.011794871794871795,43.597989949748744,0.24193307704649208
0.011794871794871795,43.84422110552764,0.24442494247094396
0.011794871794871795,44.09045226130654,0.2469254307228151
0.011794871794871795,44.33668341708543,0.24943445743832265
0.011794871794871795,44.582914572864325,0.2519519379656052
0.011794871794871795,44.82914572864322,0.2544777873675788
0.011794871794871795,45.07537688442211,0.25701192042480264
0.011794871794871795,45.321608040201006,0.2595542516383542
0.011794871794871795,45.5678391959799,0.26210469523271435
0.011794871794871795,45.814070351758794,0.26466316515866056
0.011794871794871795,46.06030150753769,0.2672295750961706
0.011794871794871795,46.30653266331659,0.26980383845733524
0.011794871794871795,46.55276381909548,0.2723858683892786
0.011794871794871795,46.798994974874375,0.274975577777089
0.011794871794871795,47.04522613065327,0.2775728792467588
0.011794871794871795,47.29145728643216,0.2801776851681312
0.011794871794871795,47.537688442211056,0.28278990765785733
0.011794871794871795,47.78391959798995,0.28540945858236166
0.011794871794871795,48.030150753768844,0.28803624956081464
0.011794871794871795,48.27638190954774,0.29067019196811544
0.011794871794871795,48.52261306532664,0.2933111969378815
0.011794871794871795,48.76884422110553,0.29595917536544725
0.011794871794871795,49.015075376884425,0.29861403791086977
0.011794871794871795,49.26130653266332,0.3012756950019436
0.011794871794871795,49.50753768844221,0.30394405683722303
0.011794871794871795,49.753768844221106,0.30661903338905105
0.011794871794871795,50.0,0.3093005344065971
0.01358974358974359,1.0,0.00018466976207489745
0.01358974358974359,1.2462311557788945,0.0002867993819867372
0.01358974358974359,1.492462311557789,0.0004113104264209115
0.01358974358974359,1.7386934673366834,0.0005581973187095639
0.01358974358974359,1.984924623115578,0.0007274534800032887
0.01358974358974359,2.2311557788944727,0.0009190713295657869
0.01358974358974359,2.477386934673367,0.0011330422851133968
0.01358974358974359,2.7236180904522613,0.0013693567631994823
0.01358974358974359,2.969849246231156,0.0016280041796436614
0.01358974358974359,3.2160804020100504,0.0019089729500058545
0.01358974358974359,3.462311557788945,0.002212250490105138
0.01358974358974359,3.7085427135678395,0.002537823216583368
0.01358974358974359,3.9547738693467336,0.00288567654751356
0.01358974358974359,4.201005025125628,0.003255794903052995
0.01358974358974359,4.447236180904523,0.0036481617061410116
0.01358974358974359,4.693467336683417,0.0040627593832414785
0.01358974358974359,4.939698492462312,0.004499569365129872
0.01358974358974359,5.185929648241206,0.00495857208772498
0.01358974358974359,5.432160804020101,0.005439746992965145
0.01358974358974359,5.678391959798995,0.005943072529729019
0.01358974358974359,5.92462311557789,0.006468526154800823
0.01358974358974359,6.170854271356784,0.007016084333880007
0.01358974358974359,6.417085427135679,0.007585722542635335
0.01358974358974359,6.6633165829145735,0.00817741526780328
0.01358974358974359,6.909547738693467,0.008791136008330733
0.01358974358974359,7.155778894472362,0.009426857276561949
0.01358974358974359,7.402010050251256,0.010084550599469664
0.01358974358974359,7.648241206030151,0.010764186519930382
0.01358974358974359,7.894472361809045,0.0114657345980437
0.01358974358974359,8.14070351758794,0.01218916341249568
0.01358974358974359,8.386934673366834,0.012934440561966128
0.01358974358974359,8.633165829145728,0.013701532666579872
0.01358974358974359,8.879396984924623,0.01449040536940173
0.01358974358974359,9.125628140703517,0.015301023337975325
0.01358974358974359,9.371859296482413,0.01613335026590561
0.01358974358974359,9.618090452261306,0.01698734887448491
0.01358974358974359,9.864321608040202,0.017862980914362683
0.01358974358974359,10.110552763819095,0.01876020716725851
0.01358974358974359,10.35678391959799,0.019678987447718788
0.01358974358974359,10.603015075376884,0.020619280604916405
0.01358974358974359,10.84924623115578,0.021581044524494008
0.01358974358974359,11.095477386934673,0.02256423613045009
0.01358974358974359,11.341708542713569,0.02356881138706838
0.01358974358974359,11.587939698492463,0.02459472530089012
0.01358974358974359,11.834170854271358,0.02564193192272925
0.01358974358974359,12.080402010050252,0.026710384349730432
0.01358974358974359,12.326633165829147,0.027800034727469707
0.01358974358974359,12.57286432160804,0.028910834252097905
0.01358974358974359,12.819095477386934,0.030042733172526384
0.01358974358974359,13.06532663316583,0.031195680792655466
0.01358974358974359,13.311557788944723,0.03236962547364485
0.01358974358974359,13.557788944723619,0.03356451463622662
0.01358974358974359,13.804020100502512,0.03478029476306008
0.01358974358974359,14.050251256281408,0.036016911401128754
0.01358974358974359,14.296482412060302,0.037274309164179266
0.01358974358974359,14.542713567839197,0.03855243173520199
0.01358974358974359,14.78894472361809,0.03985122186895341
0.01358974358974359,15.035175879396986,0.04117062139452008
0.01358974358974359,15.28140703517588,0.04251057121792395
0.01358974358974359,15.527638190954775,0.043871011324769185
0.01358974358974359,15.773869346733669,0.04525188078293006
0.01358974358974359,16.020100502512562,0.04665311774528
0.01358974358974359,16.266331658291456,0.048074659452461733
0.01358974358974359,16.512562814070353,0.04951644223569808
0.01358974358974359,16.758793969849247,0.050978401519643585
0.01358974358974359,17.00502512562814,0.05246047182527684
0.01358974358974359,17.251256281407034,0.05396258677283314
0.01358974358974359,17.49748743718593,0.05548467908477754
0.01358974358974359,17.743718592964825,0.05702668058881806
0.01358974358974359,17.98994974874372,0.05858852222095917
0.01358974358974359,18.236180904522612,0.06017013402859489
0.01358974358974359,18.48241206030151,0.06177144517364207
0.01358974358974359,18.728643216080403,0.06339238393571282
0.01358974358974359,18.974874371859297,0.06503287771532713
0.01358974358974359,19.22110552763819,0.06669285303716417
0.01358974358974359,19.467336683417088,0.06837223555335341
